ATC_OLD,ATC_NEW,YEAR_RENAME
A01AD02,R02AX03,2018
A03AE02,A06AX06,2013
A03AE04,A06AX05,2013
A10BX04,A10BJ01,2017
A10BX07,A10BJ02,2017
A10BX09,A10BK01,2017
A10BX10,A10BJ03,2017
A10BX11,A10BK02,2017
A10BX12,A10BK03,2017
A10BX13,A10BJ04,2017
A10BX14,A10BJ05,2017
A11CC07,H05BX02,2010
A12AA12,V03AE07,2016
B01AC14,L01XX35,2006
B01AX06,B01AF01,2013
B02AB03,B06AC01,2012
B02BC10,B02BC30,2014
B02BD09,B02BD04,2017
B02BD12,B02BD04,2017
B03AB06,V03AE08,2016
B03AC01,B03AC,2014
B03AC02,B03AC,2014
B03AC03,B03AC,2014
B03AC05,B03AC,2014
B03AC06,B03AC,2014
B03AC07,B03AC,2014
B06AA11,D03BA03,2014
C01EB12,C01BD06,2009
C01EB19,B06AC02,2012
C04AX13,N04BC08,2006
C07AA57,C07FX02,2017
C07AB52,C07FX03,2017
C07AB57,C07FX04,2017
C07FA05,C07FX01,2017
C07FB02,C07FB02,2017
C07FB02,C07FB13,2017
C10AA51,C10BX01,2006
C10AA52,C10BA01,2006
C10AA53,C10BX02,2006
C10AA55,C10BX03,2006
C10AX04,A10BX06,2009
D03AX07,C05AE01,2008
D03AX08,C05AE02,2008
D11AX14,D11AH01,2010
D11AX15,D11AH02,2010
D11AX17,D11AH03,2010
D11AX19,D11AH04,2012
G03AC03,G03AD01,2011
G03DC05,G03CX01,2008
G04BE05,V03AB36,2011
H01BA06,H01BA01,2018
H01CA03,L02AE05,2013
J01DA01,J01DB01,2005
J01DA02,J01DB02,2005
J01DA03,J01DB03,2005
J01DA04,J01DB04,2005
J01DA05,J01DC01,2005
J01DA06,J01DC02,2005
J01DA07,J01DC03,2005
J01DA08,J01DC04,2005
J01DA09,J01DB05,2005
J01DA10,J01DD01,2005
J01DA11,J01DD02,2005
J01DA12,J01DD03,2005
J01DA13,J01DD04,2005
J01DA14,J01DC05,2005
J01DA15,J01DB06,2005
J01DA16,J01DD05,2005
J01DA17,J01DC06,2005
J01DA18,J01DD06,2005
J01DA19,J01DC07,2005
J01DA21,J01DB07,2005
J01DA22,J01DD07,2005
J01DA23,J01DD08,2005
J01DA24,J01DE01,2005
J01DA25,J01DD09,2005
J01DA26,J01DD10,2005
J01DA27,J01DD11,2005
J01DA30,J01DB08,2005
J01DA31,J01DB09,2005
J01DA32,J01DD12,2005
J01DA33,J01DD13,2005
J01DA34,J01DB10,2005
J01DA35,J01DB11,2005
J01DA36,J01DB12,2005
J01DA37,J01DE02,2005
J01DA38,J01DC08,2005
J01DA39,J01DD14,2005
J01DA40,J01DC09,2005
J01DA41,J01DC10,2005
J01DA42,J01DD15,2005
